"","age_group","death_chikv","n","death_prop","lower","upper"
"1","[0,10)",FALSE,2730,0.982014388489209,0.976164296285217,0.986486240533735
"2","[0,10)",TRUE,50,0.0179856115107914,0.0135137594662646,0.0238357037147829
"3","[10,20)",FALSE,1905,0.984496124031008,0.977651726835376,0.989331946692811
"4","[10,20)",TRUE,30,0.0155038759689922,0.0106680533071889,0.0223482731646234
"5","[20,30)",FALSE,1868,0.982124079915878,0.97482025693833,0.987399745231635
"6","[20,30)",TRUE,34,0.017875920084122,0.0126002547683652,0.0251797430616696
"7","[30,40)",FALSE,1911,0.981006160164271,0.973634584709938,0.986405246819767
"8","[30,40)",TRUE,37,0.018993839835729,0.0135947531802327,0.0263654152900614
"9","[40,50)",FALSE,1766,0.976769911504425,0.968434149047782,0.983004385336785
"10","[40,50)",TRUE,42,0.0232300884955752,0.0169956146632147,0.0315658509522178
"11","[50,60)",FALSE,1558,0.97314178638351,0.963663315119491,0.980266847020204
"12","[50,60)",TRUE,43,0.0268582136164897,0.0197331529797966,0.0363366848805091
"13","[60,70)",FALSE,1259,0.954510993176649,0.941462901856917,0.964831085313774
"14","[60,70)",TRUE,60,0.045489006823351,0.035168914686226,0.0585370981430831
"15","[70,80)",FALSE,878,0.892276422764228,0.870811513974636,0.910610782748175
"16","[70,80)",TRUE,106,0.107723577235772,0.0893892172518249,0.129188486025364
"17","[80,90)",FALSE,506,0.812199036918138,0.778804829338815,0.841667123545487
"18","[80,90)",TRUE,117,0.187800963081862,0.158332876454513,0.221195170661185
"19","[90,100)",FALSE,105,0.760869565217391,0.679378033517771,0.827524924058101
"20","[90,100)",TRUE,33,0.239130434782609,0.172475075941899,0.320621966482229
"21","0-99",FALSE,14486,0.963292991089241,0.960132749520987,0.966213981065467
"22","0-99",TRUE,552,0.0367070089107594,0.0337860189345336,0.0398672504790132
